station_id,code,name,station_type,basin_id,basin_code,basin_name,total_records,first_record,last_record,present_combo_count,expected_combo_count,coverage_pct,missing_count
f099ea17-8a81-4bee-ac99-da8e33d6ee96,32,Jorf El Malha,Station hydrologique,3645c19b-971f-495f-9b17-1f1693b8340e,1,Ouergha,3142,2025-12-15T00:00:00+00:00,2026-02-20T11:00:00+00:00,2,4,50.0,2
1577cd6e-a3c9-417b-8e80-23963f1b67fa,41,Kharrouba,Station hydrologique,784737e1-f7bd-4823-9df6-de41df7bdc3b,2,bas sebou,3099,2025-12-15T00:00:00+00:00,2026-02-20T09:00:00+00:00,2,4,50.0,2
dbc64b6b-c431-4906-908f-b9f2deb749b0,33,Khenichet,Station hydrologique,3645c19b-971f-495f-9b17-1f1693b8340e,1,Ouergha,0,n/a,n/a,0,4,0.0,4
f7ee85e4-9784-4973-83a0-1a0fd9511ae4,34,Lalla Mimouna,Station hydrologique,159828bc-41d7-4591-975d-08939f4b7428,7,bassins cotiers,3142,2025-12-15T00:00:00+00:00,2026-02-20T11:00:00+00:00,2,4,50.0,2
f6dcb133-431d-426f-a77c-c63accf80da9,35,My Ali Cherif,Station hydrologique,159828bc-41d7-4591-975d-08939f4b7428,7,bassins cotiers,3143,2025-12-15T00:00:00+00:00,2026-02-20T11:00:00+00:00,2,4,50.0,2
0bd877a9-2291-4b12-b71a-bea858ccbb18,36,Oued ifrane,Station hydrologique,4c5512f7-2c9a-4d63-b88a-ad66d081a615,3,beht,3141,2025-12-15T00:00:00+00:00,2026-02-20T11:00:00+00:00,2,4,50.0,2
794ced18-7d9d-4777-9d98-cd9c36aa874e,62,POMPAGE EST 2,Poste Pluviométrique,e32115cf-7d84-4df3-99cb-ccacbd3cc065,6,moyen sebou,1523,2025-12-15T00:00:00+00:00,2026-02-16T10:00:00+00:00,1,2,50.0,1
fed14462-423c-426e-b9c1-5db56c8a18b6,39,Pont Ait Aissa,Station hydrologique,45d0b242-2fe0-48ee-9570-bb012e936c28,4,Haut Sebou,3133,2025-12-15T00:00:00+00:00,2026-02-20T11:00:00+00:00,2,4,50.0,2
84171a00-33ab-4be6-becc-6400e2389267,42,Ratba,Station hydrologique,3645c19b-971f-495f-9b17-1f1693b8340e,1,Ouergha,2033,2025-12-15T00:00:00+00:00,2026-02-20T09:00:00+00:00,2,4,50.0,2
b6a95f76-cd6d-4139-88a3-175051dd5f04,43,Route 26,Station hydrologique,e32115cf-7d84-4df3-99cb-ccacbd3cc065,6,moyen sebou,1519,2025-12-15T00:00:00+00:00,2026-02-16T10:00:00+00:00,1,4,25.0,3
fc19c630-a302-412a-892b-0c626e88489d,44,Souk El Had,Station hydrologique,4c5512f7-2c9a-4d63-b88a-ad66d081a615,3,beht,3141,2025-12-15T00:00:00+00:00,2026-02-20T11:00:00+00:00,2,4,50.0,2
f2a2852e-82c2-44e7-9135-60ed6bf40b10,45,Tabouda,Station hydrologique,3645c19b-971f-495f-9b17-1f1693b8340e,1,Ouergha,2772,2025-12-15T00:00:00+00:00,2026-02-20T10:00:00+00:00,2,4,50.0,2
00512de3-cb27-495d-9c51-210838e05196,53,Taghrout,Station hydrologique,45d0b242-2fe0-48ee-9570-bb012e936c28,4,Haut Sebou,3130,2025-12-15T00:00:00+00:00,2026-02-20T11:00:00+00:00,2,4,50.0,2
4e154cbc-ffe1-480e-a890-2083338dbdf9,46,Taghzout,Station hydrologique,3645c19b-971f-495f-9b17-1f1693b8340e,1,Ouergha,3104,2025-12-15T00:00:00+00:00,2026-02-20T11:00:00+00:00,2,4,50.0,2
b76ecd6f-fbd1-4e04-8745-b1f2ef14f0af,47,Tissa,Station hydrologique,1e2160e9-139b-48b9-a7e9-72cf3e96bd62,5,lebene,3138,2025-12-15T00:00:00+00:00,2026-02-20T11:00:00+00:00,2,4,50.0,2
a98eba67-6039-483a-9d08-dedce2bb9b7a,48,Zrarda,Station hydrologique,1e2160e9-139b-48b9-a7e9-72cf3e96bd62,5,lebene,3109,2025-12-15T00:00:00+00:00,2026-02-20T11:00:00+00:00,2,4,50.0,2
